Enrichment (%),k-effective,uncertainty
0.2,0.41087497289891534,0.0006131990744006627
0.30000000000000004,0.5376944291020374,0.0006846841202422019
0.4000000000000001,0.6424310622046285,0.0008114141007316181
0.5000000000000001,0.72897017458233,0.0010073825940714683
0.6000000000000001,0.8055656870403308,0.001122157954866386
0.7000000000000002,0.8735170039496168,0.0011971846754804374
0.8000000000000003,0.9256018884716336,0.0010769890792511406
0.9000000000000001,0.9767578869210555,0.0011829312147706445
1.0000000000000002,1.0215072338432334,0.0012085488983313933
1.1000000000000003,1.0578421836077967,0.0013704059778996056
1.2000000000000004,1.0946030325576186,0.0012794404210380269
1.3000000000000003,1.1253273386705394,0.0013365157564752424
1.4000000000000004,1.1542245424471098,0.001240599388750157
1.5000000000000004,1.181329656568983,0.0013103609534300539
1.6000000000000003,1.2052494536447622,0.001211595644676403
1.7000000000000004,1.226829348029443,0.0013718097559503204
1.8000000000000005,1.245246753475014,0.0011340474092497398
1.9000000000000006,1.265312575526506,0.0016476180315420058
2.000000000000001,1.2828683510191687,0.0012223015829762487
