Pitch (cm),Combined k-effective,Uncertainty
1.0,1.157010010072905,0.0013335972358987259
1.05,1.2209410748152272,0.0015492585339842917
1.1,1.2715027066744349,0.0016438083355135998
1.1500000000000001,1.3111490830230683,0.001577352600552561
1.2000000000000002,1.3373122699106132,0.0016181814141373197
1.2500000000000002,1.3606187345398786,0.0014899271644628193
1.3000000000000003,1.3783598650726823,0.0014179823510578622
1.3500000000000003,1.3900313977701462,0.0012577747312891023
1.4000000000000004,1.3980011300856645,0.0011916331800298976
1.4500000000000004,1.4015921035740924,0.0012994531114075782
1.5000000000000004,1.4054319885459867,0.001612114471061334
1.5500000000000005,1.403269250060318,0.0014079477028114222
1.6000000000000005,1.4043493310966948,0.0016235957215527787
1.6500000000000006,1.3967012095393876,0.0015100792728902723
1.7000000000000006,1.391551235644135,0.0014347623587315209
1.7500000000000007,1.3833882010851908,0.0014218761290562055
1.8000000000000007,1.3718256058783576,0.001446891356142645
1.8500000000000008,1.3659275227906955,0.0013830191435334593
1.9000000000000008,1.3520068806752135,0.001684058291211155
1.9500000000000008,1.3404021295408353,0.001575582762639426
2.000000000000001,1.3306650717935204,0.0015609507537112674
